Suburb_Cod,Census_2011,easting,northing,x,y,totpedcr,totpedcr_after,ksi,popu,logpopu,popudens,children,yadults,hdpg,loweduc,avgeduc,informdwe,lowinc,unemplorate,lum,comuse,locbuse,gbuse,ginduse,freexpres,arterials,locdistr,rdnetwork,psl60,psl80,psl100,avgpsl,rintocul,int4plusleg,signalint,pctsingalint,intdens,linintdens,strdens,busrtes,brtrtes,railsta,mbustaxirtes,distocbd,nonrezuse
10,Bellville Teachers' Training College,-29646.39312,-3757073.773,18.679324,-33.940192,4,,0,462,2.665,1760.255,9.162,59.939,95.360,0.000,36.896,0.000,0.000,0.000,0.057,23.881,0.000,0.000,0.000,0.000,0.000,0.000,0.085,100.000,0.000,0.000,60.000,7.333,3.000,1.000,4.545,83.797,258.824,0.324,1.225,0.000,0.000,0.000,29.900,23.880
13,Bishopscourt,-51269.1149,-3762808.368,18.445109,-33.991058,3,,0,1706,3.232,736.851,19.596,13.401,22.770,4.070,29.394,0.000,19.940,3.472,0.203,0.000,0.099,0.000,0.000,1.523,1.251,0.000,23.742,100.015,0.000,0.000,60.310,4.867,19.000,3.000,4.110,31.537,3.075,10.257,20.662,0.000,0.000,4.636,13.500,0.100
23,Cape Peninsula National Park,-54190.72426,-3787434.455,18.411998,-34.212987,1,,0,305,2.484,1.856,17.783,23.626,65.830,15.483,51.945,4.157,43.430,9.938,0.136,7.650,0.000,0.000,0.000,2.507,33.328,0.000,89.453,74.570,9.171,0.000,47.640,1.962,11.000,0.000,0.000,0.944,1.733,0.545,70.021,0.000,0.000,13.281,46.500,7.650
28,Castle Rock,-48449.26325,-3790063.123,18.474109,-34.236887,0,,0,5908,3.771,13182.857,9.171,25.727,96.546,11.769,76.181,0.000,13.828,10.055,0.000,0.000,0.000,0.000,0.000,0.000,2.289,0.000,4.383,0.000,0.000,0.000,60.000,2.000,0.000,0.000,0.000,17.851,1.825,9.780,0.000,0.000,0.000,0.000,48.400,0.000
32,Clovelly,-52427.52971,-3777246.197,18.431705,-34.121155,1,,0,598,2.777,144.364,13.348,11.778,9.824,0.579,52.173,0.195,20.904,6.506,0.201,0.000,0.000,0.000,0.000,0.000,0.888,0.000,6.785,6.914,0.000,0.000,46.290,2.286,4.000,1.000,6.250,3.859,2.358,1.637,17.832,0.000,1.000,8.611,34.700,0.000
37,Da Gama Park,-54888.65551,-3781550.367,18.404756,-34.159829,0,,0,2467,3.392,1504.947,25.345,15.710,57.735,1.608,72.749,0.193,14.394,6.865,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.603,56.314,55.407,55.407,76.330,2.533,3.000,0.000,0.000,23.181,3.584,6.468,4.999,0.000,0.000,3.026,41.600,0.000
48,Erinvale Golf Estate,-10883.97418,-3770773.165,18.8821,-34.064058,1,,0,554,2.744,354.374,11.002,8.519,2.757,1.257,35.235,0.000,8.067,1.916,0.228,0.000,0.000,1.929,0.000,0.000,0.000,0.000,8.036,7.221,0.000,0.000,40.750,1.100,3.000,0.000,0.000,21.099,4.107,5.138,0.000,0.000,0.000,12.427,53.200,1.930
79,Kleine Zout Rivier Small Holdings,-49169.27704,-3729364.92,18.469701,-33.689661,0,,0,294,2.469,34.787,26.623,17.250,71.174,35.089,58.197,34.438,82.714,19.231,0.000,0.000,0.000,0.000,0.000,1.442,0.000,0.000,2.114,100.000,100.000,100.000,120.000,2.000,0.000,0.000,0.000,1.182,4.730,0.250,151.233,8.393,0.000,110.008,45.300,0.000
91,Llandudno,-60818.2243,-3765597.221,18.34157,-34.015689,0,,0,614,2.788,212.289,16.132,8.131,12.565,1.185,32.069,0.175,23.450,7.682,0.353,0.956,0.000,0.000,0.000,0.000,0.723,0.000,9.804,77.641,4.584,4.584,51.430,1.833,0.000,0.000,0.000,11.409,3.366,3.390,2.892,2.331,0.000,1.943,16.100,0.960
110,Morning Star Small Holdings,-43345.71584,-3736300.303,18.532167,-33.752439,0,,0,519,2.715,355.299,18.714,14.452,23.262,4.871,67.024,1.666,25.839,9.083,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.339,4.582,9.567,0.000,0.000,50.000,1.286,0.000,0.000,0.000,6.164,1.964,3.138,0.380,0.000,0.000,0.000,32.000,0.000
